Date,Event Date,Type,Event
Sep03,Aug30,N/A,Pictures
Sep03,Aug30,Lesson,Reviewing Data Sharing and Cloud Services
Sep03,Aug31,N/A,[data missing]
Sep03,Sep01,Lesson,Git Review
Sep03,Sep03,N/A,No school until Sept. 7th
Sep10,Sep07,N/A,Weekly Review
Sep10,Sep07,Video,Imposter Syndrome (Extra Credits)
Sep10,Sep07,Lecture,The Importance of Documentation
Sep10,Sep09,Live Tutorial,Accessing the DocPac Git Repo on Github
Sep10,Sep10,N/A,DocPac Sep3 and Sep10 due for grading
Sep17,Sep13,N/A,Quick Weekly Review
Sep17,Sep14,Live Tutorial,Updating DocPacs Lesson
Sep17,Sep15,N/A,Last Week’s DocPac Full Review
Sep17,Sep15,Live Tutorial,Building a Schedule
Sep17,Sep15,Live Tutorial,Building an ExpressJS Application
Sep17,Sep17,Live Tutorial,Parsing Query Params in ExpressJS
Sep17,Sep17,N/A,All Updated DocPacs due
Sep24,Sep20,N/A,Weekly Review
Sep24,Sep21,Live Tutorial,Using Git Repo branches
Sep24,Sep23,Live Tutorial,ExpressJS and EJS Templating
Sep24,Sep24,N/A,DocPacs Due
Sep24,Sep4,N/A,IT Fundamentals rotation begins
Sep24,Sep11,N/A,No School
Oct01,Sep27,N/A,Weekly Review
Oct01,Sep27,Lesson,Notebook Development
Oct01,Sep29,Lesson,Project Management with KanBan
Oct01,Oct01,Assessment,ExpressJS HTTP Server
Oct08,Oct04,N/A,Weekly Review
Oct08,Oct05,Lesson,Working with JSON Files
Oct08,Oct07,Lesson,Reading Query Parameters
Oct15,Oct12,N/A,Weekly Review
Oct15,Oct12,Lesson,HTTP Post Requests
Oct15,Oct14,Discussion,Meritocracy and Teams
Oct15,Oct15,N/A,End-of-Week Code Review
Oct22,Oct18,N/A,Weekly Review
Oct22,Oct18,Presentation,Available Team Projects
Oct22,Oct20,N/A,Pre-Nocti Test
Oct29,Oct25,N/A,Weekly Review
Oct29,Oct26,N/A,"Teams A, B, C Interviews"
Oct29,Oct27,N/A,Team D Invterview
Oct29,Oct28,N/A,"Teams E, F, G Interviews"
Oct29,Oct29,N/A,nodeJS/ExpressJS/EJS exam
Nov05,Nov02,N/A,Weekly Review
Nov05,Nov03,Lesson,Sending Professional Emails
Nov05,Nov04,Presentation,DenMark in Auditorium @ 8:30AM
Nov05,Nov04,Lesson,The Contract
Nov05,Nov05,N/A,ExpressJS Exam Retake
Nov12,Nov 8th       ,N/A,Check your emails before class begins
Nov12,Nov 8th,N/A,Weekly Review
Nov12,Nov 8th,N/A,Private Meetings
Nov12,Nov 8th,N/A,Brainstorming Design Questions
Nov12,Nov 9th,N/A,"Teams A, C, D receive projects"
Nov12,Nov 10th,N/A,"Teams E, F, G receive projects"
Nov12,Nov 10th         ,N/A,Minimum Viable Product and Making Plans
Nov12,Nov 11th       ,N/A,Exam Preparation Plans
Nov19,Nov 15th     ,N/A,Juniors to Pre-Nocti
Nov19,Nov 16th   ,N/A,Weekly Review
Nov19,Nov 16th     ,Lesson,Scheduling a Meeting
Nov19,Nov 16th     ,Lesson,Design an MVP
Nov19,Nov 19th    ,N/A,Senior Interviews
Dec3,Nov 30th    ,N/A,Weekly Review
Dec3,Nov 30th    ,Lesson,JS Bootcamp
Dec3,Dec 1st         ,N/A,Intervention
Dec3,Dec 1st         ,Lesson,JS Bootcamp
Dec3,Dec 2nd              ,Lesson,JS Bootcamp
Dec3,Dec 3rd          ,Lesson,JS Bootcamp
Dec10,Dec 6th          ,N/A,Weekly Review
Dec10,Dec 7th        ,Lesson,Ordered and Unordered Collections
Dec10,Dec 8th        ,N/A,Intervention Schedule
Dec10,Dec 9th       ,Lesson,Iterating Through Collections
Dec10,Dec 10th       ,N/A,DocPacs Due
Dec17,Dec 13th     ,N/A,Weekly Review
Dec17,Dec 13th         ,Lesson,Github Project Management
Dec17,Dec 15th    ,N/A,Intervention Schedule
Dec17,Dec 15th     ,Bootcamp,Canvas + Iterators
Dec17,Dec 16th    ,Optional,DocPac Early Submission
Dec17,Dec 17th    ,N/A,Free Day. No work required
Dec22,Dec 20th     ,N/A,Weekly Review
Dec22,Dec 20th      ,N/A,Github Review
Dec22,Dec 21st      ,Lesson,Flow Charts
Dec22,Dec 22nd     ,N/A,Final DocPac Submissions
Jan7,Jan 3rd                    ,N/A,Weekly Review
Jan7,Jan 3rd                    ,N/A,Github Review
Jan7,Jan 3rd                    ,Lesson,Examining the NOCTI Requirements
Jan7,Jan 5th         ,Lesson,Building NOCTI Flowchart
Jan7,Jan 7th          ,Lesson,Programming NOCTI Application
Jan14,Jan 10th      ,N/A,DocPac Jan07 Due
Jan14,Jan 10th      ,Lesson,Routines
Jan14,Jan 11th         ,N/A,Weekly Review
Jan14,Jan 11th         ,Lesson,nodeJS Debugging with Chrome
Jan14,Jan 13th      ,Lesson,Building Exam Flowchart
Jan14,Jan 13th      ,N/A,Team Project Presentations
Jan14,Jan 14th         ,N/A,DocPacs Due
Jan21,Jan 18th      ,N/A,Weekly Review
Jan21,Jan 19th       ,Lesson,Exam Prep
Jan21,Jan 20th      ,N/A,Exam
Jan21,Jan 21st        ,N/A,DocPacs Due
Jan28,Jan 25th       ,N/A,Weekly Review
Jan28,Jan 25th       ,Lesson,JSON Read/Write
Jan28,Jan 27th       ,N/A,Exam
Jan28,Jan 28th      ,N/A,DocPacs Due
Feb4,Jan 31st       ,N/A,Weekly Review
Feb4,Feb 4th          ,N/A,DocPacs Due
