Date,Type,Assignment Name
Aug27,Printed,Syllabus
Aug27,Page 2 ,DocPac Expectations
Aug27,Upload,Javascript Initial Assessment (js_assess.js)
Sep10,Page 2 ,Creating Your Notebook 
Sep10,Page 2 ,Creating Your Portfolio 
Sep10,Page 2 ,DocPacs on Github 
Sep10,Upload,DocPac Github Repository
Sep17,Page 2 ,ExpressJS Middleware 
Sep17,Page 2 ,ExpressJS Team Website 
Sep24,Page 2 ,Notebook 4: EJS 
Sep24,Page 2 ,Upgrade Your Team Website with EJS 
Sep24,Upload,Codecademy Setup
Sep24,Upload,ExpressJS with EJS Links
Oct01,Upload,Notebook Development
Oct08,Page 2 ,Team Documentation: Notebook Entry Format 
Oct08,Page 2 ,Team Website Upgrade: Load Team Profiles from JSON 
Oct08,Page 2 ,Team Website Upgrade: Save Query Parameters to JSON 
Oct08,Printed,Analysis: Team Composition
Oct15,Page 2 ,Notebook 5: HTML Submit Form Data 
Oct15,Page 2 ,Notebook 6: ExpressJS POST Requests
Oct15,Page 2 ,Team Website Upgrade: Record Comments with HTML Form
Oct22,Page 2 ,Cover Letter 
Oct22,Page 2 ,Your Resume 
Oct22,Page 2 ,Upgrade Team Website: Comments Section 
Oct22,Printed,Available Team Projects
Oct29,Page 2 ,DocPac Binder Audit 
Oct29,Page 2 ,Team Project Interviews 
Oct29,Page 2 ,nodeJS/ExpressJS/EJS exam 
Nov05,Page 2 ,Sending Professional Emails 
Nov05,Page 2 ,Personal Improvement Plan 
Nov05,Printed,Personal Improvement Plan
Nov12,Page 2,Project Assignment Schedule
Nov12,Page 2,Q2 Exam Expectations
Nov12,Printed,Exam Preparation Plan
Nov19,N/A,Smiley Face
Dec3,Printed,JS Bootcamp Key Take-Aways
Dec10,Printed,JS Challenge Pt.1
Dec17,Printed,JS Challenge Pt. 2
Dec17,Printed,JS Bootcamp (Dec15) Canvas + Iterators
Dec22,Printed,JS Bootcamp Flow Chart (Dec21)
Dec22,Printed,Winter Break Schedule
Jan7,Printed,Design a Routine
Jan7,Printed,Lesson Key Take-Aways x 3
Jan7,Printed,JS Challenge Pt. 3
Jan14,Page 2,Exam Preparation Progress Report
Jan14,Page 2,Team Project Presentation
Jan14,Page 2,Design a Routine
Jan14,Page 3,Reflection
Jan14,Printed,Lesson Key Take-Aways x 2
Jan14,Printed,JS Challenge Pt. 4
Jan14,Printed,JS Challenge Pt. 5
Jan21,Page 2,Exam Preparation
Jan21,Page 3,Reflection
Jan28,Page 2,Exam Preparation
Jan28,Page 2,DocPac Binder Audit
Jan28,Printed,Lesson Key Take-Aways
Jan28,Printed,Reward System Brainstorm
Jan28,Page 3,Reflection
Feb4,Page 2,Single: Nocti Flowchart Perparation 
Feb4,Page 2,Teams: DocPac Digitalization
Feb4,Printed,Pairs: JS Challenge Pt. 7
Feb4,Printed,Pairs: JS Challenge Pt. 8
Feb4,Page 3,Reflection
