Date,Type,Assingment Name
Aug27,N/A,Signed Syllabus
Aug27,Printed,Javascript Initial Assessment (js_assess.js)
Sep03,Viewed,Build A Webserver Using nodejs 
Sep03,Viewed,Sept. 1st: Github practice assignment 
Sep03,Printed,[data missing]
Sep10,Printed,Notebook 1: Initialize Nodejs Project
Sep10,Printed,Notebook 2: Nodejs HTTP Server
Sep10,Printed,Portfolio 1: Nodejs HTTP Server
Sep17,Printed,Express Middleware 
Sep17,Viewed,ExpressJS Team Website 
Sep17,Printed,Updated Version of this DocPac
Sep24,Viewed,Upgrade Team Website with EJS
Sep24,Printed,Notebook 4: ReactJS 
Sep24,Written,"Codecademy “Learn Javascript” course, “Introduction” Chapter"
Oct01,Printed,Notebook 1: Initializing NodeJS Project
Oct01,Printed,Notebook 2: NodeJS HTTP Server
Oct01,Printed,Notebook 3: Using ExpressJS with NodeJS
Oct01,Printed,Notebook 4: Using EJS with ExpressJS
Oct01,Viewed,Team Trello Board
Oct01,Written,"Codecademy “Learn Javascript” course, “Conditionals” Chapter"
Oct08,Printed,Team Documentation: Notebook Entry Format
Oct08,Printed,Analysis: Team Composition
Oct08,Viewed,Team Website Upgrade: Load Team Profiles from JSON
Oct08,Viewed,Team Website Upgrade: Save Query Params to JSON
Oct08,Written,"Codecademy “Learn Javascript” course, “Functions” Chapter"
Oct15,Printed,Notebook 5: HTML Submit Form Data
Oct15,Printed,Notebook 6: ExpressJS POST Requests
Oct15,Viewed,Team Website Upgrade: Record Comments with HTML Form
Oct15,Written,Codecademy: Everything assigned in previous DocPacs
Oct22,Printed,Cover Letter 
Oct22,Printed,Your Resume 
Oct22,Written,"Codecademy: Learn Javascript, Scopes. Lesson, Project, and Quiz"
Oct22,Viewed,Upgrade Team Website: Comments Section 
Oct29,Printed,Notebooks 1 - 6
Oct29,Printed,DocPacs Aug17 – Oct29
Oct29,Written,"Codecademy: Learn Javascript, all chapters up to Scopes"
Nov05,Printed,Personal Improvement Plan
Nov05,Written,"Codecademy: Learn Javascript, Arrays. Lesson, Project, and Quiz"
Nov12,Printed,Exam Preparation Plan
Nov12,Written,"Codecademy: Learn Javascript, Loops. Lesson, Project, and Quiz"
Nov19,Page 2,Exam Preparation Progress Report
Nov19,Written,"Codecademy: Learn Javascript, Iterators. Lesson, Lesson, Project, and Quiz"
Dec3,Printed,JS Bootcamp Key Take-Aways
Dec3,Upload,All four days of JS Bootcamp 2122 accepted as pull requests into csmith1188/jsbootcamp2122 on GitHub.com
Dec3,Written,"Codecademy: Learn Javascript, Objects. Lesson, Lesson, Project, Project, and Quiz"
Dec10,Page 3,Reflection
Dec10,Page 2,Exam Preparation Progress Report
Dec10,Page 2,Team Project Goal
Dec10,Printed,JS Challenge Pt. 1
Dec10,Viewed,Show instructor your Team Project's goal being met
Dec10,Upload,Get your JS Bootcamp for accepted as a Pull Request to the upstream
Dec10,Written,Codecademy: All Codecademy complete (DocPac rejected if not completed)
Dec17,Page 3,Reflection
Dec17,Page 2,Exam Preparation Progress Report
Dec17,Page 2,Team Project Goal
Dec17,Printed,JS Challenge Pt.2
Dec17,Printed,JS Bootcamp (Dec15) Canvas + Iterators
Dec22,Page 3,Reflection
Dec22,Page 2,Exam Preparation Progress Report
Dec22,Page 2,Team Project Goal
Dec22,Printed,JS Bootcamp Flow Chart (Dec21)
Dec22,Printed,Winter Break Schedule
Jan7,Page 3,Reflection
Jan7,Page 2,Exam Preparation Progress Report
Jan7,Page 2,Team Project Goal
Jan7,Printed,Lesson Key Take-Aways x 3
Jan7,Printed,JS Challenge Pt. 3
Jan14,Page 2,Exam Preparation Progress Report 
Jan14,Page 3,Reflection
Jan14,Printed,Design a Routine
Jan14,Printed,Lesson Key Take-Aways x 2
Jan14,Printed,JS Challenge Pt. 4
Jan14,Printed,JS Challenge Pt. 5
Jan14,Viewed,Team Project Presentation
Jan21,Page 3,Reflection
Jan28,Printed,Lesson Key Take-Aways
Jan28,Printed,Reward System Brainstorm
Jan28,Page 3,Reflection
Feb4,Printed,Single: Nocti Flowchart Preparation
Feb4,Upload,Teams: DocPac Digitalization
Feb4,Printed,Pairs: JS Challenge Pt. 7
Feb4,Printed,Pairs: JS Challenge Pt. 8
Feb4,Page 3,Reflection
