docPacDate,type,assignmentName,
aug27,Print,Syllabus,
aug27,In DocPac (pg.2),DocPac Expectations,
aug27,Download/Upload,JS Initial Assessment,
sep3,N/A,,
sep10,In DocPac (pg.2),Creating your Notebook,
sep10,In DocPac (pg.2),�Notebook 2: Nodejs HTTP Server�,
sep10,In DocPac (pg.2),�Portfolio 1: Nodejs HTTP Server�,
sep10,Download/Upload,DocPac GitHub Repository,
sep17,In DocPac (pg.2),ExpressJS Middleware ,
sep17,in DocPac (pg.2),ExpressJS Team Website ,
sep24,In DocPac (pg.2),Notebook 4: EJS (pg.2),
sep24,In DocPac (pg.2),Upgrade your team website with EJS (pg.2),
sep24,Download/Upload,Codecademy Setup,
sep24,Download/Upload,ExpressJS with EJS Links,
oct1,Download/Upload,Notebook Development,
oct8,In DocPac (pg.2),Team Documentation: Notebook Entry Format,
oct8,In DocPac (pg.2),Team Website Upgrade: Load Team Profiles from JSON,
oct8,In DocPac (pg.2),Team Website Upgrade: Save Query Parameters to JSON,
oct8,Print,Analysis: Team Composition,
oct15,In DocPac (pg.2),Notebook 5: HTML Submit Form Data,
oct15,In DocPac (pg.2),Notebook 6: ExpressJS POST Requests,
oct15,In DocPac (pg.2),Team Website Upgrade: Record Comments with HTML Form,
oct22,In DocPac (pg.2),Cover Letter,
oct22,In DocPac (pg.2),Your Resume,
oct22,In DocPac (pg.2),Team Website Upgrade: Comments Section,
oct22,Print,Avalible Team Projects,
oct29,In DocPac (pg.2),DocPac Binder Audit,
oct29,In DocPac (pg.2),Team Project Interviews,
oct29,In DocPac (pg.2),nodeJS/ExpressJS/EJS Exam,
nov5,in DocPac (pg.2),Sending Professional Emails ,
nov5,In DocPac (pg.2),Personal Improvement Plan ,
nov5,Print,Personal Improvement Plan,
nov12,in DocPac (pg.2),Project Assignment Schedule ,
nov12,in DocPac (pg.2),Quarter 2 Exam Expectations ,
nov12,Print,Exam Preparation Plan,
nov19,None ,None,
dec3,Print,JS Bootcamp Key Take-Aways,
dec10,Print,JS Challenge Pt. 1,
dec17,Print,JS Challenge Pt. 2,
dec17,Print,JS Bootcamp Canvas + Iterators,
dec22,Print,JS Bootcamp Flow Chart,
dec22,Print,Winter Break Schedule,
jan7,Print,Design a Routine,
jan7,Print,3 Lesson Key Takeaways,
jan7,Print,JS Challenges Pt. 3,
jan14,in DocPac (pg.2),Exam Preparation Progress Report ,
jan14,in DocPac (pg.2),Team Project Presentation ,
jan14,in DocPac (pg.2),Design a Routine ,
jan14,In DocPac (pg.3),Reflection ,
jan14,Print,Lesson Key Takeaways x 2,
jan14,Print,JS Challenges Pt. 4,
jan14,Print,JS Challenges Pt. 5,
jan21,In DocPac (pg.2),Exam Preparation,
jan21,In DocPac (pg.3),Reflection ,
jan28,In DocPac (pg.2),Exam Preparation Progress Report ,
jan28,In DocPac (pg.2),DocPac Binder Audit,
jan28,Print,Lesson Key Takeaways,
jan28,Print,Reward System Brainstorm,
jan28,In DocPac (pg.3),Reflection,
feb4,In DocPac (pg.2),Single: NOCTI Flowchart  Preparation ,
feb4,In DocPac (pg.2),Teams: DocPac Digitalization ,
feb4,Print,Pairs: Javascript Challenge #7,
feb4,Print,Pairs: Javascript Challenge #8,
feb4,In DocPac (pg.3),Reflection,
