DocPac Date,Event Date,Type,Event Text
Sep03,Aug30,School Event,Pictures
Sep03,Aug30,Lesson,Reviewng Data Sharing and Cloud Services
Sep03,Aug31,Pop Assignment,[data missing]
Sep03,Sep01,Lesson,Git Review
Sep03,Sep03,School Event,No school until Sep07
Sep10,Sep07,Review,Weekly Review
Sep10,Sep07,Video,Imposter Syndrome (Extra Credits)
Sep10,Sep07,Lecture,The importance of documentation
Sep10,Sep09,Live Tutorial,Accessing the DocPac git repository on Github
Sep10,Sep10,Submission,DocPac Sep03 and Sep10 due for grading
Sep17,Sep13,Review,Quick Weekly Review
Sep17,Sep14,Live Tutorial,Updating DocPacs lesson
Sep17,Sep15,Review,Last Week's DocPac Full Review
Sep17,Sep15,Live Tutorial,Building a Schedule
Sep17,Sep15,Live Tutorial,Building an ExpressJS Application
Sep17,Sep17,Live Tutorial,Parsing Query Params in ExpressJS
Sep17,Sep17,Submission,All updated DocPacs due
Sep24,Sep20,Review,Weekly Review
Sep24,Sep21,Live Tutorial,Using git repository branches
Sep24,Sep23,Live Tutorial,ExpressJs and EJS templating
Sep24,Sep24,Submission,DocPacs Due
Sep24,Oct04,School Event,IT Fundamentals rotation begins
Sep24,Oct11,School Event,No School
Oct01,Sep27,Review,Weekly Review
Oct01,Sep27,Lesson,Notebook Development
Oct01,Sep29,Lesson,Project Management with KanBan
Oct01,Oct01,Assessment,ExpressJS HTTP Server
Oct08,Oct04,Review,Weekly Review
Oct08,Oct05,Lesson,Working with JSON Files
Oct08,Oct07,Lesson,Reading Query Parameters
Oct15,Oct12,Review,Weekly Review
Oct15,Oct12,Lesson,HTTP Post Requests
Oct15,Oct14,Discussion,Meritocracy and Teams
Oct15,Oct15,Code Review,End-of-Week Code Review
Oct22,Oct18,Review,Weekly Review
Oct22,Oct18,Presentation,Available Team Projects
Oct22,Oct20,Nocti,Pre-Nocti Test
Oct29,Oct25,Review,Weekly Review
Oct29,Oct26,Interviews,"Teams A, B, C Interviews"
Oct29,Oct27,Interviews,Team D Interview
Oct29,Oct28,Interviews,"Teams E, F, G Interviews"
Oct29,Oct29,Exam,nodeJS/expressJS/EJS exam
Nov05,Nov02,Review,Weekly Review
Nov05,Nov03,Lesson,Sending Professional Emails
Nov05,Nov04,Presentation,DenMark in Auditorium @ 8:30AM
Nov05,Nov04,Lesson,The Contract
Nov05,Nov05,Exam,ExpressJS Exam Retake
Nov12,Nov08,Project,Check your emails before class begins
Nov12,Nov08,Review,Weekly Review
Nov12,Nov08,Project,Private Meetings
Nov12,Nov08,Project,Brainstorming Design Questions
Nov12,Nov09,Project,"Teams A, C, D receive projects"
Nov12,Nov10,Project,"Teams E, F, G receive projects"
Nov12,Nov10,Project,Minumum Viable Product and Making Plans
Nov12,Nov11,Exam,Exam Preparation Plans
Nov19,Nov15,Nocti,Juniors to Pre-Nocti
Nov19,Nov16,Review,Weekly Review
Nov19,Nov16,Lesson,Scheduling a Meeting
Nov19,Nov16,Lesson,Design an MVP
Nov19,Nov19,Interviews,Senior Interview
Dec03,Nov30,Review,Weekly Review
Dec03,Nov30,Lesson,JS Bootcamp
Dec03,Dec01,Intervention,Intervention Schedule
Dec03,Dec01,Lesson,JS Bootcamp
Dec03,Dec02,Lesson,JS Bootcamp
Dec03,Dec03,Lesson,JS Bootcamp
Dec10,Dec06,Review,Weekly Review
Dec10,Dec07,Lesson,Ordered and Unordered Collections
Dec10,Dec08,Intervention,Intervention Schedule
Dec10,Dec09,Lesson,Iterating through Collections
Dec10,Dec10,Submission,DocPacs Due
Dec17,Dec13,Review,Weekly Review
Dec17,Dec13,Lesson,Github Project Management
Dec17,Dec15,Intervention,Intervention Schedule
Dec17,Dec15,Bootcamp,Canvas + Iterators
Dec17,Dec16,Submission,DocPacs Early Submission (Optional)
Dec17,Dec17,Free-Day,Free day. No work required
Dec22,Dec20,Review,Weekly Review
Dec22,Dec20,Review,Github Review
Dec22,Dec21,Lesson,Flow Charts
Dec22,Dec22,Submission,Final DocPac Submissions
Jan07,Jan03,Review,Weekly Review
Jan07,Jan03,Review,Github Review
Jan07,Jan03,Lesson,Examining the Nocti Requirements
Jan07,Jan05,Lesson,Building Nocti Flowchart
Jan07,Jan07,Lesson,Programming Nocti Application
Jan14,Jan10,Submission,DocPac Jan07 Due
Jan14,Jan10,Lesson,Routines
Jan14,Jan11,Review,Weekly Review
Jan14,Jan11,Lesson,nodeJS Debuugging with Chrome
Jan14,Jan13,Lesson,Building Exam Flowchart
Jan14,Jan13,Project,Team Project Presentation
Jan14,Jan14,Submission,DocPacs Due
Jan21,Jan18,Review,Weekly Review
Jan21,Jan19,Lesson,Exam Prep
Jan21,Jan20,Exam,Exam
Jan21,Jan21,Submission,DocPacs Due
Jan28,Jan25,Review,Weekly Review
Jan28,Jan25,Lesson,JSON Read/Write
Jan28,Jan27,Exam,Exam
Jan28,Jan28,Submission,DocPacs Due
Feb04,Jan31,Review,Weekly Review
Feb04,Feb04,Submission,DocPacs Due
