DocPac Date,Type,Assignment Name
Aug27,Print,Syllabus
Aug27,pg.2,DocPac Expectations
Aug27,Download/Upload,Javascript Initial Assessment
Sep10,pg.2,Creating Your Notebook
Sep10,pg.2,Creating Your Portfolio
Sep10,pg.2,Docpacs on Github
Sep10,Upload/Download,Docpac Github Repository
Sep17,pg.2,ExpressJS Middleware
Sep17,pg.2,ExpressJS Team Website
Sep24,pg.2,Notebook 4: EJS (pg. 2)
Sep24,pg.2,Upgrade Your Team Website with EJS
Sep24,Download/Upload,Codecademy Setup
Sep24,Download/Upload,ExpressJS with EJS links
Oct01,Download/Upload,Notebook Development
Oct08,pg.2,Team Documentation: Notebook Entry Format
Oct08,pg.2,Team Website Upgrade: Load Team Profiles from JSON
Oct08,pg.2,Team Website Upgrade: Save Query Params to JSON
Oct08,Print,Analysis: Team Composition
Oct15,pg.2,Notebook 5: HTML submit form data
Oct15,pg.2,ExpressJS POST Requests
Oct15,pg.2,Website Upgrade: Record Comments w/ HTML Form
Oct22,pg.2,Cover Letter
Oct22,pg.2,Your Resume
Oct22,pg.2,Website Upgrade: Comments Section
Oct22,Print,Available Team Projects
Oct29,pg.2,Docpac Binder Audit
Oct29,pg.2,Tean Project Interviews
Oct29,pg.2,NodeJS/ExpressJS/EJS Exam
Nov5,pg.2,Sending Professional Emails
Nov5,pg.2,Personal Improvment Plan
Nov5,Print,Personal Improvment Plan
Nov12,pg.2,Project Assignment Schedule
Nov12,pg.2,Quarter 2 Exam Expectations
Nov12,Print,Exam Prep Plan
Nov19,pg.2,??
Dec03,Print,JS Bootcamp Key Take-Aways
Dec10,Print,JS Challenge Pt. 1
Dec17,Print,JS Challenge Pt. 2
Dec17,Print,JS Bootcamp (Dec15) Canvas + Iterators
Dec22,Print,JS Bootcamp Flow Chart (Dec21)
Dec22,Print,Winter Break Schedule
Jan07,Print,Design a Routine
Jan07,Print,Lesson Key Takeaways x 3
Jan07,Print,JS Challenges Pt. 3
Jan14,pg.2,Exam Preparation Progress Report (pg. 2)
Jan14,pg.2,Team Project Presentation (pg. 2)
Jan14,pg.2,Design a Routine (pg. 2)
Jan14,pg.2,Reflection (pg. 3)
Jan14,Print,Lesson Key Takeaways x 2
Jan14,Print,JS Challenges Pt. 4
Jan14,Print,JS Challenges Pt. 5
Jan21,pg.2,Exam Preparation (pg. 2)
Jan21,pg.3,Reflection (pg. 3)
Jan28,pg.2,Exam Preparation (pg. 2)
Jan28,pg.2,janDocPac Binder Audit (pg. 2)
Jan28,Print,Lesson Key Take-aways
Jan28,Print,Reward System Brainstorm
Jan28,pg.3,Reflection (pg. 3)
Feb04,pg.2,Single: Nocti Flowchart  Preparation (pg. 2)
Feb04,pg.2,Teams: DocPac Digitalization (pg. 2)
Feb04,Print,Pairs: Javascript Challenge #7
Feb04,Print,Pairs: Javascript Challenge #8
Feb04,pg.3,Reflection (pg. 3)
