DocPac Date,Type,Assignment Name
Aug27,View,Signed Syllabus
Aug27,Print,Javascript Inital Assessment (js_assess.js)
Sep3,View,Build a Webserver Using nodejs
Sep3,View,Sep1st Github practice assignment (assigned in-class)
Sep3,View,Data missing
Sep10,Print,Notebook 1 Initialize Nodejs Project
Sep10,Print,Notebook 2 Nodejs HTTP Server
Sep10,Print,Portfolio 1 Nodejs HTTP Server
Sep17,Print,�Express Middleware (pg. 2)�
Sep17,View,�ExpressJS Team Website (pg. 2)�
Sep17,Print,Updated Version of this DocPac
Sep24,View,Upgrade Team Website with EJS
Sep24,Print,�Notebook 4: ReactJS (pg. 2)�
Sep24,Graded Manualy,"Codecademy �Learn Javascript� course, �Introduction� Chapter Includes both Lessons, both Projects, the Quiz, and Article"
Oct1,Print,�Notebook 1: Initializing NodeJS Project�
Oct1,Print,�Notebook 2: NodeJS HTTP Server�
Oct1,Print,�Notebook 3: Using ExpressJS with NodeJS�
Oct1,Print,�Notebook 4: Using EJS with ExpressJS�
Oct1,View,Team Trello Board
Oct1,Graded Manualy,"Lesson Codecademy �Learn Javascript� course, �Conditionals� Chapter. Includes the, both Projects, and the Quiz", 
Oct8,Print,Team Documentation: Notebook Entry Format
Oct8,Print,Analysis: Team Composition
Oct8,View,Team Website Upgrade: Load Team Profiles from JSON
Oct8,View,Team Website Upgrade: Save Query Params to JSON
Oct8 ,Graded Manualy,"Codecademy �Learn Javascript� course, �Functions� Chapter"
Oct15,Print,Notebook 5: HTML Submit Form Data
Oct15,Print,Notebook 6: ExpressJS POST Requests
Oct15,View,Team Website Upgrade: Record Comments with HTML Form
Oct15,Graded Manualy,Codecademy: Everything assigned in previous DocPacs
Oct22,Print,Cover Letter (pg. 2)
Oct22,Print,Your Resume (pg. 2)
Oct22,Graded Manualy,"Codecademy: Learn Javascript, Scopes. Lesson, Project, and Quiz"
Oct22,View,Upgrade Team Website: Comments Section (pg. 2)
Oct29,Print,Notebooks 1 - 6
Oct29,Print,DocPacs Aug17 � Oct29
Oct29,Graded Manualy,"Codecademy: Learn Javascript, all chapters up to Scopes"
Nov5,Print,Personal Improvement Plan
Nov5,Graded Manualy,"Codecademy: Learn Javascript, Arrays. Lesson, Project, and Quiz"
Nov12,Print,Exam Preparation Plan
Nov12,Graded Manualy,"Codecademy: Learn Javascript, Loops. Lesson, Project, and Quiz"
Nov19,Print,Exam Preparation Progress Report (pg. 2)
Nov19,Graded Manualy,"Codecademy: Learn Javascript, Iterators. Lesson, Lesson, Project, and Quiz"
Dec03,Print,JS Bootcamp Key Take-Aways
Dec03,Download/Upload,All four days of JS Bootcamp 2122 accepted as pull requests into csmith1188/jsbootcamp2122 on GitHub.com
Dec03,Graded Manualy,"Codecademy: Learn Javascript, Objects. Lesson, Lesson, Project, Project, and Quiz"
Dec10,pg.3,Reflection (pg. 3)
Dec10,pg.2,Exam Preparation Progress Report (pg. 2)
Dec10,pg.2,Team Project Goal (pg. 2)
Dec10,Print,JS Challenge Pt. 1
Dec10,View,Show instructor your Team Project�s goal being met
Dec10,Download/Upload,Get your JS Bootcamp fork accepted as a Pull Request to the upstream
Dec10,Graded Manualy,Codecademy: All Codecademy complete (DocPac rejected if not complete!)
Dec17,pg.3,Reflection (pg. 3)
Dec17,pg.2,Exam Preparation Progress Report (pg. 2)
Dec17,pg.2,Team Project Goal (pg. 2)
Dec17,Print, JS Challenge Pt. 2
Dec17,Print,JS Bootcamp (Dec15) Canvas + Iterators
Dec22,pg.3,Reflection (pg. 3)
Dec22,pg.2,Exam Preparation Progress Report (pg. 2)
Dec22,pg.2,Team Project Goal (pg. 2)
Dec22,Print, JS Bootcamp Flow Chart (Dec21)
Dec22,Print, Winter Break Schedule
Jan07,pg.3,Reflection (pg. 3)
Jan07,pg.2,Exam Preparation Progress Report (pg. 2)
Jan07,pg.2,Team Project Goal (pg. 2)
Jan07,Print,Lesson Key Takeaways x 3
Jan07,Print,JS Challenges Pt. 3
Jan14,pg.2,Exam Preparation Progress Report (pg. 2)
Jan14,pg.3,Reflection (pg. 3)
Jan14,Print,Design a Routine
Jan14,Print,Lesson Key Takeaways x 3
Jan14,Print,JS Challenges Pt. 4
Jan14,Print,JS Challenges Pt. 5
Jan14,View,Team Project Presentation
Jan21,pg.3,Reflection (pg. 3)
Jan28,Print,Lesson Key Take-aways
Jan28,Print,Reward System Brainstorm
Jan28,pg.3,Reflection (pg. 3)
Feb04,Print,Single: Nocti Flowchart Preparation (pg. 2)
Feb04,Download/Upload,Teams: DocPac Digitalization (pg. 2)
Feb04,Print,Pairs: Javascript Challenge #7
Feb04,Print,Pairs: Javascript Challenge #8
Feb04,pg.3,Reflection (pg. 3)
